trial_index,time_elapsed,subject_id,rt,response,position_of_items,colors_of_items,color_of_target,wheel_spin,response_angle,physical_response_angle,reported_color_angle,reported_color_discrete,which_test,set_size,wheel_num_options,actual_mask_duration,actual_stim_duration,CMDispTime,maskArray,maskRotation,item_positions,task,randomSpinAmount,subNo,targetLocation,targetLocationDeg,colorCorrected,distance,colorUnCorrected,distance1,distance2
254,971859,"558943fafdf99b5ccd435cb3",3209,"","[7,0,3,1,2]","[133,321,287,157,228]",133,166,284.1921771115,284.1921771115,118.1921771115,118,0,5,0,155.035999999964,0,0,"[[[""img/mask65.png""],[""img/mask2.png""],[""img/mask68.png""],[""img/mask19.png""],[""img/mask100.png""]]]","","[7,0,3,1,2]","color",166,1,7,135,-75.8078228884999,149.1921771115,284.1921771115,210.8078228885,149.1921771115
260,1009907,"558943fafdf99b5ccd435cb3",4590,"","[2,3,4]","[315,93,257]",315,26,105.460226027463,105.460226027463,79.4602260274635,76,0,3,0,156.236000000034,0,0,"[[[""img/mask91.png""],[""img/mask60.png""],[""img/mask91.png""]]]","","[2,3,4]","color",26,1,2,0,105.460226027463,105.460226027463,105.460226027463,105.460226027463,105.460226027463
264,1020020,"558943fafdf99b5ccd435cb3",2403,"","[1,7,5]","[340,260,11]",340,292,24.093025077937,24.093025077937,92.093025077937,90,0,3,0,156.743999999948,0,0,"[[[""img/mask70.png""],[""img/mask15.png""],[""img/mask45.png""]]]","","[1,7,5]","color",292,1,1,45,24.093025077937,20.906974922063,24.093025077937,20.906974922063,20.906974922063
266,1026450,"558943fafdf99b5ccd435cb3",3453,"","[5]","[51]",51,65,78.7940565305746,78.7940565305746,13.7940565305746,10,0,1,0,154.861999999965,0,0,"[[[""img/mask15.png""]]]","","[5]","color",65,1,5,225,438.794056530575,146.205943469425,78.7940565305746,213.794056530575,146.205943469425
284,1078050,"558943fafdf99b5ccd435cb3",2421,"","[3]","[30]",30,331,82.602456424465,82.602456424465,111.602456424465,108,0,1,0,156.090000000084,0,0,"[[[""img/mask21.png""]]]","","[3]","color",331,1,3,315,442.602456424465,127.602456424465,82.602456424465,127.602456424465,232.397543575535
288,1088731,"558943fafdf99b5ccd435cb3",2185,"","[4]","[292]",292,281,296.744962018411,296.744962018411,15.7449620184109,15,0,1,0,144.320000000065,0,0,"[[[""img/mask33.png""]]]","","[4]","color",281,1,4,270,296.744962018411,26.7449620184109,296.744962018411,26.7449620184109,26.7449620184109
302,1134525,"558943fafdf99b5ccd435cb3",2414,"","[2]","[14]",14,56,66.1301751391229,66.1301751391229,10.1301751391229,7,0,1,0,144.164000000106,0,0,"[[[""img/mask11.png""]]]","","[2]","color",56,1,2,0,66.1301751391229,66.1301751391229,66.1301751391229,66.1301751391229,66.1301751391229
326,1205962,"558943fafdf99b5ccd435cb3",2372,"","[5,0,1]","[61,125,326]",61,95,276.908446686391,276.908446686391,181.908446686391,182,0,3,0,144.638000000035,0,0,"[[[""img/mask100.png""],[""img/mask98.png""],[""img/mask60.png""]]]","","[5,0,1]","color",95,1,5,225,276.908446686391,51.9084466863914,276.908446686391,51.9084466863914,51.9084466863914
340,1261931,"558943fafdf99b5ccd435cb3",4276,"","[5,4,3]","[54,110,299]",54,39,265.725005415971,265.725005415971,226.725005415971,227,0,3,0,154.141999999993,0,0,"[[[""img/mask98.png""],[""img/mask91.png""],[""img/mask85.png""]]]","","[5,4,3]","color",39,1,5,225,265.725005415971,40.7250054159711,265.725005415971,40.7250054159711,40.7250054159711
352,1297033,"558943fafdf99b5ccd435cb3",2479,"","[0,6,5,7,3]","[218,319,248,86,136]",218,51,342.138789165,342.138789165,291.138789165,290,0,5,0,144.665999999968,0,0,"[[[""img/mask10.png""],[""img/mask98.png""],[""img/mask58.png""],[""img/mask17.png""],[""img/mask100.png""]]]","","[0,6,5,7,3]","color",51,1,0,90,-17.8612108350003,107.861210835,342.138789165,107.861210835,252.138789165
